latin	common	IUCN	popstab	sound	picfile	qual	piccredit
Forpus_conspicillatus	Spectacled parrotlet	LC	Contact calls	1	Forpus_conspicillatus	2	REFERENCE: Wanker, R., and Fischer, J. (2001). Intra- and interindividual variation in the contact calls of spectacled parrotlets (Forpus conspicillatus). Behaviour 138, 709-726. SOUND: Xeno-Canto: Andrew Spencer, XC62456 (license: CC-BY-2.5) / Peter Boesman, XC273726 (license: CC-BY-4.0) / Fabrice Schmitt, XC428673 (license: CC-BY-4.0). PICTURE: Rogier Klappe/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Forpus_conspicillatus_-Colombia_-pair-8-3c.jpg
Marmota_flaviventris	 Yellow-bellied marmot 	VU	Alarm whistles	1	Marmota_flaviventris	2	REFERENCE: Blumstein, D.T., and Munos, O. (2005). Individual, age and sex-specific information is contained in yellow-bellied marmot alarm calls. Animal Behaviour 69, 353-361. SOUND: Blumstein D. / license: CC-BY-4.0. PICTURE: Diliff/Public Domain/Source:https://commons.wikimedia.org/wiki/File:Marmota_flaviventris_(Yellow_Bellied_Marmot)_Yosemite_NP_-_Diliff.jpg
Megascops_kennicottii	Western screech owl	EN	Territorial calls	1	Megascops_kennicottii	2	REFERENCE: Tripp, T.M., and Otter, K.A. (2006). Vocal individuality as a potential long-term monitoring tool for Western Screech-owls, Megascops kennicottii. Canadian Journal of Zoology-Revue Canadienne De Zoologie 84, 744-753. SOUND: Xeno-Canto: Richard E. Webster, XC348776 (license: CC-BY-4.0) / Dan Lane, XC196480 (license: CC-BY-4.0) / Eric DeFonso, XC172762 (license: CC-BY-4.0). PICTURE: Shravans14/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Western_Screech_Owl_In_Hole.jpg
Ninox_natalis	Christmas boobook	VU	Territorial calls	1	Ninox_natalis	2	REFERENCE: Hill, F. a. R., and Lill, A. (1998). Vocalisations of the Christmas Island Hawk-Owl Ninox natalis: Individual variation in advertisement calls. Emu 98, 221-226. SOUND: Xeno-Canto: Frank Lambert, XC68847, XC68846, XC68845 (license: CC-BY-4.0). PICTURE: John Gerrard Keulemans/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Christmas_Island_Hawk_Owl.jpg
Spheniscus_demersus	African penguin	NT	Ecstatic display song	1	Spheniscus_demersus	2	REFERENCE: Favaro, L., Gamba, M., Alfieri, C., Pessani, D., and McElligott, A.G. (2015). Vocal individuality cues in the African penguin (Spheniscus demersus): a source-filter theory approach. Scientific Reports 5, 17255. SOUND: Livio Favaro / license: CC-BY-4.0. PICTURE: Charles J Sharp/Public Domain/Source: https://commons.wikimedia.org/wiki/File:African_penguins_Boulder_Bay_1.jpg
Strix_aluco	Tawny owl	CR	Territorial calls	1	Strix_aluco	2	REFERENCE: Appleby, B.M., and Redpath, S.M. (1997). Variation in the male territorial hoot of the Tawny Owl Strix aluco in three English populations. Ibis 139, 152-158. SOUND: Xeno-Canto: Jarek Matusiak, XC398538 (license: CC-BY-4.0) / Elias A. Ryberg, XC372887 (license: CC-BY-4.0) / Antonio Xeira, XC366449 (license: CC-BY-4.0). PICTURE: Andreas Trepte/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Waldkauz-Strix_aluco.jpg
Strix_varia	Barred owl	VU	Territorial calls	1	Strix_varia	2	REFERENCE: Freeman, P.L. (2000). Identification of individual Barred Owls using spectrogram analysis and auditory cues. Journal of Raptor Research 34, 85-92. SOUND: Xeno-Canto: Martin St-Michel, XC312258 (license: CC-BY-4.0) / Martin St-Michel, XC410888 (license: CC-BY-4.0) / Lance A. M. Benner, XC381118 (license: CC-BY-4.0). PICTURE: Mdf/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Strix-varia-005.jpg
Bonasa_umbellus	Ruffed grouse	VU	Drumming (territory defense)	1	Bonasa_umbellus	2	REFERENCE: Garcia, M., Charrier, I., Rendall, D., and Iwaniuk, A.N. (2012). Temporal and Spectral Analyses Reveal Individual Variation in a Non-Vocal Acoustic Display: The Drumming Display of the Ruffed Grouse (Bonasa umbellus, L.). Ethology 118, 292-301. SOUND: Maxime Garcia / license: CC-BY-4.0. PICTURE: Mdf/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Bonasa-umbellus-001edit1.jpg
Bos_taurus	Cattle	LC	Mother-calf contact call	1	Bos_taurus	2	REFERENCE: de la Torre, M.P., Briefer, E.F., Reader, T., and McElligott, A.G. (2015). Acoustic analysis of cattle (Bos taurus) mother-offspring contact calls from a source-filter theory perspective. Applied Animal Behaviour Science 163, 58-68. SOUND: de la Torre, M.P., Briefer, E.F., Reader, T., and McElligott, A.G. / license: CC-BY-4.0. PICTURE: Daniel Schwen/Public Domain/ Source: https://en.wikipedia.org/wiki/File:CH_cow_2_cropped.jpg
Haliaeetus_leucocephalus	Bald eagle	EN	Chatter call (alarm)	1	Haliaeetus_leucocephalus	2	REFERENCE: Eakle, W.L., Mannan, R.W., and Grubb, T.G. (1989). Identification of individual breeding bald eagles by voice analysis. Journal of Wildlife Management 53, 450-455. SOUND: Xeno-Canto: Ryan P. O'Donnell, XC79811 (license: CC-BY-2.5) / Paul Marvin, XC293803 (license: CC-BY-4.0) / Paul Marvin, XC344282 (license: CC-BY-4.0). PICTURE: Andy Morffew/Public Domain/Source: https://en.wikipedia.org/wiki/File:About_to_Launch_(26075320352).jpg
